Unnamed: 0,Reverse,Non-Reverse,ParticipantID
count,7.0,8.0,02​
mean,66.50290788922992,57.64639186859131,02​
std,22.979499952560182,27.61480262354107,02​
min,40.119873046875,33.42596435546875,02​
25%,47.564788818359375,39.315216064453125,02​
50%,64.3865966796875,48.15238571166992,02​
75%,84.04280090332031,63.62213134765625,02​
max,97.7987060546875,102.61862182617188,02​
count,7.0,8.0,05​
mean,57.66927446637835,43.70318126678467,05​
std,12.15022740619509,12.013862782962374,05​
min,41.724853515625,30.842041015625,05​
25%,50.122650146484375,36.587135314941406,05​
50%,53.4332275390625,43.03976440429688,05​
75%,65.71634674072266,45.82591438293457,05​
max,76.84884643554688,69.86956787109375,05​
count,7.0,8.0,07​
mean,48.881827218191965,41.90966606140137,07​
std,7.98591432158077,9.513511959840894,07​
min,36.4395751953125,26.98760986328125,07​
25%,43.986236572265625,36.02667236328125,07​
50%,50.8953857421875,45.27642059326172,07​
75%,53.767913818359375,47.97685241699219,07​
max,59.32952880859375,52.96441650390625,07​
count,7.0,8.0,06​
mean,61.75935145786831,30.48180389404297,06​
std,17.82639817780266,18.1465082776868,06​
min,41.17169189453125,1.96435546875,06​
25%,51.75543212890625,24.251983642578125,06​
50%,56.972412109375,34.87306213378906,06​
75%,72.01408386230469,43.584205627441406,06​
max,86.63232421875,48.4425048828125,06​
count,7.0,8.0,01​
mean,56.38436017717634,43.27873373031616,01​
std,14.655092642822853,20.0856650259616,01​
min,34.85394287109375,32.88018798828125,01​
25%,48.026458740234375,35.030853271484375,01​
50%,56.006103515625,35.952850341796875,01​
75%,64.15519714355469,38.28284454345703,01​
max,79.4671630859375,92.29191207885742,01​
count,7.0,8.0,04​
mean,40.335950578962056,36.86659049987793,04​
std,10.192565553572122,9.1723184830536,04​
min,29.82171630859375,25.5198974609375,04​
25%,30.85943603515625,32.518898010253906,04​
50%,41.0308837890625,36.08346557617188,04​
75%,46.89596557617188,38.32662963867188,04​
max,55.98825073242188,56.62013244628906,04​
count,7.0,8.0,03​
mean,37.69915771484375,33.444820404052734,03​
std,5.5267526548665575,8.434749139775208,03​
min,30.98992919921875,20.68975830078125,03​
25%,32.705841064453125,29.40442657470703,03​
50%,39.12017822265625,32.686370849609375,03​
75%,41.76214599609375,37.88497924804688,03​
max,44.8480224609375,45.57147216796875,03​
